condition,layer,cv_mean,cv_std,control_cv_mean,control_cv_std
ONLY_HOBBY,41,1.0,0.0,0.5023107420952633,0.01604687605204055
ONLY_HOBBY,42,1.0,0.0,0.5056241968963132,0.01501721859596161
ONLY_HOBBY,43,1.0,0.0,0.5046324668050476,0.015843862578223736
ONLY_HOBBY,44,1.0,0.0,0.5019818127903529,0.014264071210255733
ONLY_HOBBY,45,1.0,0.0,0.5049635926328622,0.01209629276604805
ONLY_HOBBY,46,1.0,0.0,0.5039724116723228,0.010152208124028277
ONLY_HOBBY,47,1.0,0.0,0.49635047719460096,0.013798233451230197
ONLY_HOBBY,48,1.0,0.0,0.5026446135767081,0.01256815856737615
ONLY_HOBBY,49,1.0,0.0,0.49966448112637696,0.009976050268067568
ONLY_HOBBY,50,1.0,0.0,0.5042980461928767,0.012954676161176728
ONLY_HOBBY,51,1.0,0.0,0.5079459216060976,0.011882281060650238
ONLY_HOBBY,52,1.0,0.0,0.5059558718548537,0.01303524262055067
ONLY_HOBBY,53,1.0,0.0,0.506284801159764,0.01755109013202904
ONLY_HOBBY,54,0.9996683250414593,0.0006633499170812573,0.5122489099755089,0.017411212290694755
ONLY_HOBBY,55,0.9996683250414593,0.0006633499170812573,0.5119161367555161,0.0190763837221868
ONLY_HOBBY,56,0.9996683250414593,0.0006633499170812573,0.5129122598925901,0.01689323558591908
ONLY_HOBBY,57,0.9996683250414593,0.0006633499170812573,0.5119166858862422,0.018176586568661602
ONLY_HOBBY,58,0.9996683250414593,0.0006633499170812573,0.5115828144047972,0.02462843235310253
ONLY_HOBBY,59,0.9993366500829188,0.0013266998341625146,0.5059531262012236,0.02143943044912079
ONLY_HOBBY,60,0.9996683250414593,0.0006633499170812573,0.5056258442884912,0.012168770342818947
ONLY_NAME,0,0.5453944406005294,0.0006285889611019767,0.5443999648556336,0.00036989977225646595
ONLY_NAME,1,0.9887340340241397,0.004110236478280845,0.518208625745445,0.021449930177510734
ONLY_NAME,2,0.9884029081963253,0.004683224430458804,0.5255032783104345,0.02464442173419638
